tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity,anomaly_score,is_anomaly
2026-07-20,12:00,192.168.2.187,43,25,6,28,15,16349,380.21,7,32,2,2,0.1628,0.7442,0.0465,0.0465,0.5814,0.4246724494058169,0
2026-07-20,12:00,192.168.2.191,253,72,7,95,158,148100,585.38,9,233,11,0,0.0356,0.9209,0.0435,0.0,0.2846,0.4480813047825849,0
2026-07-20,12:00,192.168.2.195,1,1,1,0,1,1278,1278.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.4663926446720365,0
2026-07-20,12:00,192.168.2.197,193,59,6,130,63,61651,319.44,3,184,6,0,0.0155,0.9534,0.0311,0.0,0.3057,0.39738948111930344,0
2026-07-20,13:00,192.168.2.113,62,15,4,47,15,8124,131.03,12,26,24,0,0.1935,0.4194,0.3871,0.0,0.2419,0.4330233168947721,0
2026-07-20,13:00,192.168.2.139,143,49,4,89,54,29163,203.94,36,102,5,0,0.2517,0.7133,0.035,0.0,0.3427,0.39721705617340847,0
2026-07-20,13:00,192.168.2.150,21,10,4,16,5,1324,63.05,4,8,9,0,0.1905,0.381,0.4286,0.0,0.4762,0.45110100483014803,0
2026-07-20,13:00,192.168.2.154,723,92,8,342,381,296947,410.72,65,509,144,5,0.0899,0.704,0.1992,0.0069,0.1272,0.5862616067645099,1
2026-07-20,13:00,192.168.2.158,13,5,2,5,8,10274,790.31,0,12,1,0,0.0,0.9231,0.0769,0.0,0.3846,0.3967107835083318,0
2026-07-20,13:00,192.168.2.163,314,41,6,53,261,50788,161.75,175,135,3,1,0.5573,0.4299,0.0096,0.0032,0.1306,0.4773952381949058,0
2026-07-20,13:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5,0.36677286372248463,0
2026-07-20,13:00,192.168.2.180,2,1,1,0,2,352,176.0,0,0,2,0,0.0,0.0,1.0,0.0,0.5,0.5143246147800503,0
2026-07-20,13:00,192.168.2.191,82,35,7,50,32,31873,388.7,8,67,7,0,0.0976,0.8171,0.0854,0.0,0.4268,0.3849508570507419,0
2026-07-20,13:00,192.168.2.195,23,18,3,18,5,6168,268.17,0,22,1,0,0.0,0.9565,0.0435,0.0,0.7826,0.4030935111893365,0
2026-07-20,13:00,192.168.2.197,327,60,4,179,148,128226,392.13,2,314,11,0,0.0061,0.9602,0.0336,0.0,0.1835,0.4313930253692386,0
2026-07-20,14:00,192.168.2.139,248,65,6,142,106,55789,224.96,68,171,9,0,0.2742,0.6895,0.0363,0.0,0.2621,0.42380749224119796,0
2026-07-20,14:00,192.168.2.150,70,13,4,45,25,11788,168.4,19,24,27,0,0.2714,0.3429,0.3857,0.0,0.1857,0.4466660476799231,0
2026-07-20,14:00,192.168.2.154,391,74,7,107,284,191994,491.03,53,208,130,0,0.1355,0.532,0.3325,0.0,0.1893,0.5148618855148361,0
